feature_set,model_type,test_year,num_matches,accuracy,log_loss,brier_score
ranking_only,logistic,2019,2721,0.6100698272693863,0.6431996935953325,0.22618626006949538
elo_only,logistic,2019,2721,0.6060271958838662,0.674479826312078,0.23677928811793975
surface_elo_only,logistic,2019,2721,0.6049246600514516,0.6816142075316666,0.23619144715370188
elo_surface,logistic,2019,2721,0.6082322675486953,0.6753833820994685,0.2365286275886154
form_only,logistic,2019,2721,0.5964718853362734,0.6683814881599358,0.23764539679934352
serve_only,logistic,2019,2721,0.5428151414920985,0.6851791440700415,0.24585164418286257
full,logistic,2019,2721,0.6376332230797501,0.6335293164901492,0.22119282247586627
