feature_set,model_type,test_year,num_matches,accuracy,log_loss,brier_score
elo_only,xgboost,2024,3159,0.6024058246280468,0.662125779167075,0.23432710829069098
elo_only,xgboost,2025,2861,0.6071303739951066,0.6594862721342996,0.23335410923423
surface_elo_only,xgboost,2009,3085,0.6301458670988654,0.6401283980475774,0.22331746086074478
surface_elo_only,xgboost,2010,3030,0.6290429042904291,0.6510816350539043,0.22701179788038517
surface_elo_only,xgboost,2011,3015,0.6444444444444445,0.631323446813148,0.21979410048568765
surface_elo_only,xgboost,2012,3009,0.6434031239614489,0.6153741501122927,0.21428323520471074
surface_elo_only,xgboost,2013,27,0.6296296296296297,0.7523312928970286,0.2633187928746801
surface_elo_only,xgboost,2014,2874,0.6217814892136395,0.6460461712385157,0.22705397097898972
surface_elo_only,xgboost,2015,2945,0.635993208828523,0.628238743329726,0.21989578459545692
surface_elo_only,xgboost,2016,2970,0.6313131313131313,0.6431782820196297,0.22497441511062302
surface_elo_only,xgboost,2017,2936,0.6168256130790191,0.6577233804308794,0.23192948958455903
surface_elo_only,xgboost,2018,3011,0.5978080371969445,0.6696925185074492,0.2372745843767892
surface_elo_only,xgboost,2019,2721,0.6063947078280044,0.6672570937681925,0.23611793842404677
surface_elo_only,xgboost,2020,1466,0.607094133697135,0.6591346170266305,0.23306312293839115
surface_elo_only,xgboost,2021,2735,0.5926873857404021,0.6733878604482266,0.2390358513012735
surface_elo_only,xgboost,2022,2918,0.5980123372172721,0.6660036432858291,0.23585798828144375
surface_elo_only,xgboost,2023,2995,0.5926544240400667,0.6709341844016992,0.2386811455065979
surface_elo_only,xgboost,2024,3159,0.5872111427666983,0.6720400264213662,0.23911862729461075
surface_elo_only,xgboost,2025,2861,0.5739252009786788,0.6743327518230201,0.2403392639583409
ranking_only,xgboost,2009,3085,0.66677471636953,0.6219864435665046,0.2147775492848276
ranking_only,xgboost,2010,3030,0.671947194719472,0.6083173875253411,0.21008727147568748
ranking_only,xgboost,2011,3015,0.6640132669983416,0.6045706677022333,0.20931439932077645
ranking_only,xgboost,2012,3009,0.6819541375872383,0.5927939361679005,0.20411816011031833
ranking_only,xgboost,2013,27,0.6296296296296297,0.65184137601234,0.22999237161305452
ranking_only,xgboost,2014,2874,0.6771050800278358,0.6026604729041866,0.20770823499979155
ranking_only,xgboost,2015,2945,0.6767402376910017,0.5869418468278956,0.20178372278055665
ranking_only,xgboost,2016,2970,0.6676767676767676,0.6070653226497883,0.20963242489445577
ranking_only,xgboost,2017,2936,0.6427111716621253,0.6251614383674954,0.21770849123685698
ranking_only,xgboost,2018,3011,0.6343407505812022,0.6369292320102468,0.22319847724395692
ranking_only,xgboost,2019,2721,0.6170525542080117,0.6465610282937659,0.22781189269878144
ranking_only,xgboost,2020,1466,0.630968622100955,0.6293691965266921,0.22058993474470898
ranking_only,xgboost,2021,2735,0.6351005484460694,0.6339359030611998,0.2220366686543317
ranking_only,xgboost,2022,2918,0.6456477039067855,0.6294178749793943,0.21996273723526816
ranking_only,xgboost,2023,2995,0.6303839732888147,0.6348511203893312,0.22249634533352522
ranking_only,xgboost,2024,3159,0.6331117442228553,0.6382584374648267,0.2240688545164751
ranking_only,xgboost,2025,2861,0.634743096819294,0.6363594835263979,0.2228405073439424
elo_surface,xgboost,2009,3085,0.6589951377633712,0.6301001382848755,0.21671474432538862
elo_surface,xgboost,2010,3030,0.6346534653465347,0.6566222617284548,0.22604434912474758
elo_surface,xgboost,2011,3015,0.6527363184079602,0.6324718550433225,0.219953029120896
elo_surface,xgboost,2012,3009,0.6686606846128281,0.5994416727311033,0.20659717383984644
elo_surface,xgboost,2013,27,0.6666666666666666,0.7104140479021126,0.23996212023706598
elo_surface,xgboost,2014,2874,0.6283924843423799,0.644178552646615,0.22487614451394589
elo_surface,xgboost,2015,2945,0.6465195246179966,0.6212303606817283,0.21676281555844804
elo_surface,xgboost,2016,2970,0.630976430976431,0.6396466315532129,0.2231499950268486
elo_surface,xgboost,2017,2936,0.6079700272479565,0.658180752499789,0.231916254256532
elo_surface,xgboost,2018,3011,0.6014613085353703,0.6649242422064942,0.2351273696598507
elo_surface,xgboost,2019,2721,0.605659683939728,0.6699387334409448,0.23699950149336516
elo_surface,xgboost,2020,1466,0.616643929058663,0.6601730722760525,0.23350843865915707
elo_surface,xgboost,2021,2735,0.6021937842778794,0.668889316678574,0.23659130192170336
elo_surface,xgboost,2022,2918,0.6151473612063056,0.6563562542619411,0.23094089752637814
elo_surface,xgboost,2023,2995,0.5959933222036727,0.6653976199747278,0.23597942063651148
elo_surface,xgboost,2024,3159,0.608420386198164,0.6635204774223902,0.23492497253796787
elo_surface,xgboost,2025,2861,0.5959454736106257,0.6631743036840273,0.2349998240243338
form_only,xgboost,2009,3085,0.6123176661264181,0.6570892979634368,0.2317975660972465
form_only,xgboost,2010,3030,0.6254125412541254,0.6501672014137865,0.2289396113705828
form_only,xgboost,2011,3015,0.6218905472636815,0.6486876885780415,0.2281961194618648
form_only,xgboost,2012,3009,0.651379195746095,0.6278925733018748,0.21903442435368398
form_only,xgboost,2013,27,0.6296296296296297,0.6410813537333004,0.22564487233516659
form_only,xgboost,2014,2874,0.627348643006263,0.6465588923401024,0.2274145279383805
form_only,xgboost,2015,2945,0.6492359932088285,0.6359425064836883,0.22255228913046843
form_only,xgboost,2016,2970,0.6262626262626263,0.6477308054075033,0.22805662973670476
form_only,xgboost,2017,2936,0.6202316076294278,0.644304054935988,0.22665139726565228
form_only,xgboost,2018,3011,0.5994686150780472,0.6681257982795522,0.2373085164610961
form_only,xgboost,2019,2721,0.6038221242190371,0.6651775400082505,0.23626998360473692
form_only,xgboost,2020,1466,0.597544338335607,0.6639288083523024,0.2357687198530558
form_only,xgboost,2021,2735,0.6124314442413162,0.6538370994124308,0.23097087584136353
form_only,xgboost,2022,2918,0.6100068540095956,0.6580811676912854,0.23290822048684703
form_only,xgboost,2023,2995,0.6073455759599332,0.6640249713547858,0.23553971674196836
form_only,xgboost,2024,3159,0.6049382716049383,0.6609927083047312,0.2342099700558732
form_only,xgboost,2025,2861,0.6085284865431667,0.6543513750132842,0.23145193441691211
serve_only,xgboost,2009,3085,0.53354943273906,0.6918685585306612,0.24818202873128453
